n;sel_swap;sel_comp;sel_time;ins_swap;ins_comp;ins_time;heap_swap;heap_comp;heap_time;quick_swap;quick_comp;quick_timemq_swap;mq_comp;mq_time
2700;2699;3643650;7557700;1810209;1812900;2444500;28454;53400;342100;20639;37663;164000;20378;34315;187300
2700;2699;3643650;7602400;1821773;1824465;2466600;28416;53361;343200;20385;34901;164600;17936;32929;179500
2700;2699;3643650;7664200;1818687;1821379;2534800;28402;53285;361000;19171;34830;170500;18222;32253;194700
2700;2699;3643650;7549200;1775597;1778293;2400900;28526;53431;342900;21017;38948;167300;18946;34762;186300
2700;2699;3643650;7592200;1808779;1811473;2451100;28458;53414;342300;18161;33921;166300;19762;33008;184100
2700;2699;3643650;7579800;1812016;1814706;2455800;28447;53378;342100;21901;34951;165300;20912;33232;187900
2700;2699;3643650;7571500;1852711;1855401;2511200;28466;53433;346200;20962;34954;171300;19360;34391;181100
2700;2699;3643650;7560400;1791170;1793862;2488800;28421;53341;345200;22975;38913;167700;17979;31729;185100
2800;2799;3918600;8142300;2005643;2008433;2747800;29612;55618;357900;18576;34561;187800;18661;33179;188000
2800;2799;3918600;8128800;1958225;1961020;2648900;29658;55629;357500;21700;36060;170200;19663;33948;189800
2800;2799;3918600;8144300;1967284;1970080;2659400;29671;55665;360500;19067;36451;172200;18423;33371;189000
